sample	top_cm	bot_cm	density	cum_mass	cum_mass_err	Pb_total	Pb_total_err	Pb_unsupported	Pb_unsupported_err	CICage	CICerr	CRSage	CRSerr	CICused	CRSused
P168	2	3	1.5	3.7	0.7	8.7	0.4	6	0.4	7	2	3	2		x
P169	7	8	1.3	10.7	0.7	10.2	0.4	7.9	0.4	20	3	9	3		x
P170	12	13	1.4	17.6	0.7	8.4	0.4	6.8	0.4	32	4	18	4		x
P359	17	18	1.5	24.8	0.7	9.3	0.4	7.7	0.4	46	6	30	5	x	x
P171	22	23	1.5	32.2	0.7	6.7	0.3	4.5	0.3	59	8	45	7	x	x
P360	27	28	1.4	39.5	0.7	6	0.3	4.1	0.3	73	9	63	4	x	x
P172	32	33	1.4	46.5	0.7	3.6	0.2	2.5	0.2	86	11	88	7	x	x
P361	37	38	1.3	53.2	0.7	3.1	0.2	1.1	0.2	98	12	118	11	x	x
P173	42	43	1.4	59.8	0.7	2.6	0.1	1.1	0.2	110	14	259	104	x	x
P362-1	52	53	1.3	73	0.7	1.5	0.1	0.1	0.2						
P362-2	52	53		73	0.7	1.5	0.1								
P363-1	56	57	1.2	78.6	0.7	1.6	0.1	0.4	0.2						
P363-2	56	57		78.6	0.7	2	0.1								
